epoch,accuracy,loss,val_accuracy,val_loss
0,0.2907806932926178,2.1669833660125732,0.39571693539619446,1.695923089981079
1,0.3668322265148163,1.7477351427078247,0.41309744119644165,1.6435316801071167
2,0.38118889927864075,1.686644434928894,0.44134077429771423,1.5592429637908936
3,0.3950023353099823,1.6636766195297241,0.43265053629875183,1.5356806516647339
4,0.4035387337207794,1.643359661102295,0.43482309579849243,1.5658882856369019
5,0.40749651193618774,1.6278281211853027,0.4509621262550354,1.5120105743408203
6,0.40974700450897217,1.6250145435333252,0.41092488169670105,1.529144287109375
7,0.41572248935699463,1.615586757659912,0.4459962844848633,1.5166300535202026
8,0.4182834029197693,1.608447551727295,0.45499688386917114,1.5224108695983887
9,0.42309483885765076,1.611883521080017,0.45344507694244385,1.483432650566101
10,0.4211547374725342,1.5927406549453735,0.4459962844848633,1.4961737394332886
11,0.41797298192977905,1.5960952043533325,0.44040969014167786,1.5034120082855225
12,0.4209219217300415,1.5956987142562866,0.4525139629840851,1.4888520240783691
13,0.4209219217300415,1.5955748558044434,0.44258224964141846,1.5107052326202393
14,0.42557814717292786,1.5945143699645996,0.453134685754776,1.4737828969955444
15,0.4324072599411011,1.57967209815979,0.43171942234039307,1.5101370811462402
16,0.42410367727279663,1.576322078704834,0.44754812121391296,1.4571397304534912
17,0.4285270869731903,1.5878959894180298,0.4590316712856293,1.4890786409378052
18,0.43434736132621765,1.5740108489990234,0.45779019594192505,1.4745265245437622
19,0.4320192337036133,1.579280138015747,0.4546865224838257,1.4566603899002075
20,0.43419215083122253,1.5684726238250732,0.44692736864089966,1.474584698677063
21,0.43279528617858887,1.5702998638153076,0.46151459217071533,1.4800413846969604
22,0.43077757954597473,1.5651649236679077,0.4655493497848511,1.443722128868103
23,0.4384603500366211,1.5691931247711182,0.4639975130558014,1.455588698387146
24,0.43496817350387573,1.5731960535049438,0.4525139629840851,1.4665759801864624
25,0.435977041721344,1.5737698078155518,0.45841091871261597,1.451578140258789
26,0.43737390637397766,1.5683447122573853,0.45189324021339417,1.4760874509811401
27,0.43248486518859863,1.5682291984558105,0.4590316712856293,1.458695650100708
28,0.44063323736190796,1.5756593942642212,0.4581005573272705,1.4758327007293701
29,0.4372963011264801,1.5526585578918457,0.4481688439846039,1.4735603332519531
30,0.43776190280914307,1.5659891366958618,0.4677219092845917,1.449761986732483
31,0.43838274478912354,1.5565098524093628,0.45934203267097473,1.4445762634277344
32,0.43318331241607666,1.5719106197357178,0.4574798345565796,1.45845627784729
