epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.13700543344020844,0.001879924675449729,2.225338935852051,0.10534493625164032,8.689346313476562
1,0.14204810559749603,0.001879924675449729,2.176042318344116,0.11218147724866867,2.204138994216919
2,0.16369278728961945,0.001879924675449729,2.1383707523345947,0.11559975147247314,2.1916375160217285
3,0.16904577612876892,0.001879924675449729,2.12021803855896,0.13113735616207123,2.114861011505127
4,0.154228076338768,0.001879924675449729,2.133836269378662,0.12647607922554016,2.1595263481140137
5,0.15608999133110046,0.001879924675449729,2.108626365661621,0.15164698660373688,2.1886157989501953
6,0.1826997697353363,0.001879924675449729,2.083207607269287,0.18614046275615692,2.187021017074585
7,0.18867339193820953,0.001879924675449729,2.055602550506592,0.13206960260868073,2.139416456222534
8,0.19208689033985138,0.001879924675449729,2.011706829071045,0.18303294479846954,2.0205509662628174
9,0.20845617353916168,0.001879924675449729,1.9846665859222412,0.21348664164543152,1.9222060441970825
10,0.21124902367591858,0.001879924675449729,1.9674842357635498,0.19825978577136993,2.0044546127319336
11,0.2159813791513443,0.001879924675449729,1.9342297315597534,0.2041640728712082,1.9153720140457153
12,0.2275407314300537,0.001879924675449729,1.8966559171676636,0.23803605139255524,1.7714005708694458
13,0.2467028647661209,0.001879924675449729,1.8516837358474731,0.13082660734653473,2.165785551071167
14,0.2704422175884247,0.001879924675449729,1.814955234527588,0.29055315256118774,1.6978777647018433
15,0.30558571219444275,0.001879924675449729,1.7265841960906982,0.19919204711914062,2.076645851135254
16,0.3372381627559662,0.001879924675449729,1.6400700807571411,0.190180242061615,2.1097662448883057
17,0.37114042043685913,0.001879924675449729,1.586585283279419,0.2541951537132263,2.082961082458496
18,0.37990689277648926,0.001879924675449729,1.542392373085022,0.393101304769516,1.4624664783477783
19,0.4060511887073517,0.001879924675449729,1.5006181001663208,0.3763206899166107,1.705079197883606
20,0.42854925990104675,0.001879924675449729,1.466011881828308,0.45090118050575256,1.2846229076385498
21,0.44747865200042725,0.001879924675449729,1.4235804080963135,0.35487881302833557,1.5995869636535645
22,0.4642358422279358,0.001879924675449729,1.3867733478546143,0.38533249497413635,1.4123002290725708
23,0.47641581296920776,0.001879924675449729,1.359482765197754,0.4701678156852722,1.2744264602661133
24,0.47967416048049927,0.001879924675449729,1.3406565189361572,0.42666253447532654,1.4362398386001587
25,0.4990690350532532,0.001879924675449729,1.3094629049301147,0.4729645848274231,1.2689522504806519
26,0.520713746547699,0.001879924675449729,1.2790772914886475,0.4229334890842438,1.5432363748550415
27,0.5343677401542664,0.001879924675449729,1.2665672302246094,0.48197638988494873,1.5375498533248901
28,0.5401086211204529,0.001879924675449729,1.2382078170776367,0.4959602355957031,1.2803566455841064
29,0.5464701056480408,0.001879924675449729,1.2310678958892822,0.5497203469276428,1.1246663331985474
30,0.5577191710472107,0.001879924675449729,1.2028520107269287,0.522374153137207,1.2783159017562866
31,0.5687354803085327,0.001879924675449729,1.1836214065551758,0.5466127991676331,1.1450903415679932
32,0.5710628628730774,0.001879924675449729,1.1751307249069214,0.46426352858543396,1.2519657611846924
33,0.5833979845046997,0.001879924675449729,1.1577026844024658,0.5590428709983826,1.1450275182724
34,0.5823894739151001,0.001879924675449729,1.1412098407745361,0.5904288291931152,1.0580662488937378
35,0.5874321460723877,0.001879924675449729,1.1422563791275024,0.5683654546737671,1.0971086025238037
36,0.5958882570266724,0.001879924675449729,1.1164380311965942,0.5152268409729004,1.2551064491271973
37,0.5990690588951111,0.001879924675449729,1.1139132976531982,0.6121814846992493,1.0423945188522339
38,0.6100853085517883,0.001879924675449729,1.0965216159820557,0.5689869523048401,1.0895017385482788
39,0.6076803803443909,0.001879924675449729,1.091652274131775,0.5304536819458008,1.19214928150177
40,0.6133436560630798,0.001879924675449729,1.083331823348999,0.45338720083236694,1.4404491186141968
41,0.6129558086395264,0.001879924675449729,1.0811996459960938,0.5226848721504211,1.2761884927749634
42,0.6200931072235107,0.001879924675449729,1.0512038469314575,0.6118707060813904,1.0180366039276123
43,0.6287044286727905,0.001879924675449729,1.0468335151672363,0.6059664487838745,1.0645508766174316
44,0.6295577883720398,0.001879924675449729,1.042880654335022,0.6382846236228943,0.965559720993042
45,0.6311869621276855,0.001879924675449729,1.031368613243103,0.6003729104995728,1.0801688432693481
46,0.6417377591133118,0.001879924675449729,1.0264812707901,0.5643256902694702,1.4318907260894775
47,0.641660213470459,0.001879924675449729,1.0206661224365234,0.6034803986549377,1.133607268333435
48,0.6469355821609497,0.001879924675449729,1.0077571868896484,0.5904288291931152,1.0716122388839722
49,0.6476338505744934,0.001879924675449729,0.9975777864456177,0.6538222432136536,0.9455991387367249
50,0.6523661613464355,0.001879924675449729,0.9918363690376282,0.6162212491035461,1.0001202821731567
51,0.6606671810150146,0.001879924675449729,0.9753981828689575,0.5708514451980591,1.264973759651184
52,0.6634600758552551,0.001879924675449729,0.9728596210479736,0.5525171160697937,1.126426100730896
53,0.6581070423126221,0.001879924675449729,0.9798617362976074,0.5733374953269958,1.2268247604370117
54,0.6684251427650452,0.001879924675449729,0.9549263715744019,0.6339341402053833,1.0004569292068481
55,0.6936385035514832,0.0005639774026349187,0.8908523321151733,0.6687383651733398,0.9090737104415894
56,0.704732358455658,0.0005639774026349187,0.8689227104187012,0.666563093662262,0.9064709544181824
57,0.7062839269638062,0.0005639774026349187,0.8515795469284058,0.6594157814979553,0.9231941103935242
58,0.7039565443992615,0.0005639774026349187,0.8469365239143372,0.6824114322662354,0.8782539963722229
